name,price,condition,brand,model,memory,powerPerformance,category,performance_score
GIGABYTE NVIDIA GeForce RTX 3070 8 GB,370,Pre-Owned,GIGABYTE,GeForce RTX 3070,8,100.42,Desktop,15891.5
GIGABYTE NVIDIA GeForce RTX 2060 6 GB,145,Pre-Owned,GIGABYTE,GeForce RTX 2060,6,87.2,Desktop,10736.5
EVGA NVIDIA GeForce GTX 970 4 GB,55,Pre-Owned,EVGA,GeForce GTX 970,4,66.81,Desktop,8749
MSI NVIDIA GeForce GTX 1080 Ti 11 GB,160,Pre-Owned,MSI,GeForce GTX 1080 Ti,11,73.14,Desktop,13812
ASUS NVIDIA GeForce GTX 1080 Ti 11 GB,190,Pre-Owned,ASUS,GeForce GTX 1080 Ti,11,73.14,Desktop,13812
MSI NVIDIA GeForce GTX 1050 Ti 4 GB,125,Pre-Owned,MSI,GeForce GTX 1050 Ti,4,84.18,Desktop,6412
GIGABYTE NVIDIA GeForce RTX 3070 8 GB,298,Pre-Owned,GIGABYTE,GeForce RTX 3070,8,100.42,Desktop,15891.5
EVGA NVIDIA GeForce RTX 3080 10 GB,455,Pre-Owned,EVGA,GeForce RTX 3080,10,77.66,Desktop,17441.5
MSI NVIDIA GeForce GTX 1050 Ti 4 GB,99.99,Pre-Owned,MSI,GeForce GTX 1050 Ti,4,84.18,Desktop,6412
ASUS NVIDIA GeForce GTX 1080 Ti 11 GB,148.5,Pre-Owned,ASUS,GeForce GTX 1080 Ti,11,73.14,Desktop,13812
EVGA NVIDIA GeForce RTX 3080 10 GB,429,Open Box,EVGA,GeForce RTX 3080,10,77.66,Desktop,17441.5
PNY NVIDIA GeForce GTX 1060 6 GB,100,Pre-Owned,PNY,GeForce GTX 1060,6,83.92,Desktop,8845
GIGABYTE NVIDIA GeForce RTX 3060 Ti 8 GB,250,Open Box,GIGABYTE,GeForce RTX 3060 Ti,8,101.03,Desktop,14908
GIGABYTE NVIDIA GeForce RTX 3070 8 GB,270,Pre-Owned,GIGABYTE,GeForce RTX 3070,8,100.42,Desktop,15891.5
